Sharpe,Valor,TAE,DDPP1,DDPP2,Apalancamiento Medio,Apalancamiento Maximo,Fecha inicio
0.2872992383628708,172768.8309016009,0.1698781246884166,0.3166666666666666,0.7326209410205434,1.2559472719437723,1.6376531021917038,2021-03-04
0.37681413679212783,554467.3966132512,0.19974691872283779,0.525,0.6305877329769065,1.2519266268237337,1.6763388942422075,2015-04-02
0.7115842563865207,202205.2914655527,0.3525601948020205,0.26249999999999996,0.713390619405657,1.2633801590928613,1.6411172826284899,2022-04-26
0.2896959769581431,323528.17325463454,0.16002563117453006,0.2666666666666667,0.607293061880525,1.25205981650247,1.6920735774688116,2016-09-30
0.45874350243330836,749240.0984166308,0.24783057671547248,0.6375,0.6736550450242438,1.2513492642849127,1.7879727858348975,2015-07-26
0.29959468975310727,388479.32516314986,0.15343740457433408,0.5708333333333333,0.6391022818988921,1.2561965679498512,1.7776020331693376,2015-02-24
0.7238862193389924,208338.65798533283,0.36748970389255664,0.5708333333333333,0.7740819964349376,1.2572823505653785,1.641000273392212,2022-04-22
0.4169955999253648,724732.0703661703,0.22720375427322081,0.6708333333333334,0.6745207207207207,1.2561130825114446,1.687777945875117,2014-12-23
0.2981474937633311,268876.6662380055,0.1818243460750999,0.8125,0.6530286410725168,1.252630003485003,1.6813305116954629,2018-09-25
0.31204108386135326,494791.67321624164,0.16757669544074916,0.48750000000000004,0.6398043375766148,1.255993565414398,1.688277474173288,2014-05-03
0.2524029717162825,289146.1424010958,0.13819073848767727,0.3833333333333333,0.6212376662376662,1.256026675913751,1.714266154973942,2016-06-14
0.27176038538670766,203532.11761991744,0.15308727261873045,0.3375,0.5803237674760854,1.2561270606586228,1.6716035918322936,2019-09-01
0.28282424890284985,415681.83021398354,0.14740435510323469,0.5625,0.6617813778761655,1.257834888076632,1.7066902361205236,2014-04-19
0.3149503389692656,381815.8376963681,0.17237241019670813,0.6208333333333333,0.6720150187734668,1.2524956412614299,1.6956111372211193,2016-03-25
0.3549548642058022,178786.8051744984,0.18817397603795727,0.475,0.7124626694233862,1.2592501326070473,1.6834421232305852,2021-04-15
-0.044358298441816865,91757.42111573018,-0.018770282869414845,0.5625,0.5912995594713657,1.2567524884824697,1.660493650297957,2020-02-11
0.303499472991309,361734.00305876863,0.17012712124215712,0.4625,0.6415612903225807,1.2555755725398734,1.7388712641013,2016-06-21
0.09009976843994222,121305.43205448637,0.04885312339816106,0.5291666666666667,0.6356200037181632,1.2485583459050984,1.6360307190321204,2020-08-10
0.2750846403883786,124618.7126167552,0.15078134960387124,0.32499999999999996,0.5909532483302975,1.2605932983060606,1.6881810375806297,2023-01-29
0.46877650332217935,160202.57694180383,0.24638495493693546,0.36250000000000004,0.7038323353293413,1.2774545954151928,1.6706623272569676,2022-07-06
